Antecedents,Consequents,Support,Confidence,Lift
HERB MARKER THYME,HERB MARKER ROSEMARY,0.01119191294032699,0.9313304721030043,77.16908770771433
HERB MARKER ROSEMARY,HERB MARKER THYME,0.01119191294032699,0.9273504273504274,77.16908770771433
HERB MARKER CHIVES,HERB MARKER PARSLEY,0.00979937077724483,0.9223300970873786,77.08214763977234
REGENCY TEA PLATE PINK,REGENCY TEA PLATE GREEN,0.013254938367115375,0.9113475177304965,49.77497752472281
HERB MARKER CHIVES,HERB MARKER THYME,0.0096446438702357,0.9077669902912621,75.53945997749906
HERB MARKER CHIVES,HERB MARKER MINT,0.0096446438702357,0.9077669902912621,74.57921260490373
HERB MARKER PARSLEY,HERB MARKER THYME,0.010830883490639022,0.9051724137931034,75.32355335207933
HERB MARKER PARSLEY,HERB MARKER ROSEMARY,0.010830883490639022,0.9051724137931034,75.00165782493369
HERB MARKER CHIVES,HERB MARKER ROSEMARY,0.009593068234565991,0.9029126213592233,74.81441374159822
HERB MARKER THYME,HERB MARKER PARSLEY,0.010830883490639022,0.9012875536480687,75.32355335207933
BISCUITS SMALL BOWL LIGHT BLUE,SMALL DOLLY MIX DESIGN ORANGE BOWL,0.007994223528804993,0.9011627906976746,33.47250066827052
HERB MARKER ROSEMARY,HERB MARKER PARSLEY,0.010830883490639022,0.8974358974358975,75.00165782493369
HERB MARKER PARSLEY,HERB MARKER MINT,0.010727732219299603,0.896551724137931,73.65780245470485
HERB MARKER ROSEMARY,HERB MARKER BASIL,0.010779307854969312,0.8931623931623932,73.37934593654933
HERB MARKER PARSLEY,HERB MARKER BASIL,0.010676156583629894,0.8922413793103449,73.30367840444184
HERB MARKER ROSEMARY,HERB MARKER MINT,0.010727732219299603,0.888888888888889,73.02824858757062
SET/6 COLLAGE PAPER CUPS,SET/6 COLLAGE PAPER PLATES,0.00820052607148383,0.888268156424581,80.47958544353365
HERB MARKER BASIL,HERB MARKER ROSEMARY,0.010779307854969312,0.885593220338983,73.37934593654933
HERB MARKER THYME,HERB MARKER BASIL,0.010624580947960184,0.8841201716738198,72.6364661380665
REGENCY TEA PLATE PINK,REGENCY TEA PLATE ROSES,0.012842333281757698,0.8829787234042553,41.15402516366612
HERB MARKER MINT,HERB MARKER PARSLEY,0.010727732219299603,0.8813559322033898,73.65780245470485
HERB MARKER MINT,HERB MARKER ROSEMARY,0.010727732219299603,0.8813559322033898,73.02824858757063
CHRISTMAS TREE DECORATION WITH BELL,CHRISTMAS TREE HEART DECORATION,0.005673319923668059,0.88,94.79066666666667
HERB MARKER BASIL,HERB MARKER PARSLEY,0.010676156583629894,0.8771186440677966,73.30367840444185
HERB MARKER CHIVES,HERB MARKER BASIL,0.009283614420547733,0.8737864077669902,71.78747737370412
HERB MARKER BASIL,HERB MARKER THYME,0.010624580947960184,0.8728813559322034,72.6364661380665
HERB MARKER THYME,HERB MARKER MINT,0.010469854040951054,0.871244635193133,71.57865352440531
HERB MARKER MINT,HERB MARKER BASIL,0.010573005312290475,0.8686440677966102,71.36499928181557
HERB MARKER BASIL,HERB MARKER MINT,0.010573005312290475,0.8686440677966102,71.36499928181557
HERB MARKER MINT,HERB MARKER THYME,0.010469854040951054,0.8601694915254237,71.57865352440533
POPPY'S PLAYHOUSE BATHROOM,POPPY'S PLAYHOUSE KITCHEN,0.00974779514157512,0.8513513513513513,38.839650238473766
REGENCY TEA PLATE GREEN,REGENCY TEA PLATE ROSES,0.01526638815823405,0.8338028169014085,38.86202600216685
POPPY'S PLAYHOUSE BATHROOM,POPPY'S PLAYHOUSE BEDROOM,0.009541492598896282,0.8333333333333334,39.12227602905569
CHRISTMAS TREE DECORATION WITH BELL,CHRISTMAS TREE STAR DECORATION,0.0053638661096498015,0.832,81.4729696969697
WOODEN TREE CHRISTMAS SCANDINAVIAN,WOODEN STAR CHRISTMAS SCANDINAVIAN,0.01397699726649131,0.8312883435582822,32.561312511619256
SMALL CHOCOLATES PINK BOWL,SMALL DOLLY MIX DESIGN ORANGE BOWL,0.010418278405281345,0.8278688524590164,30.750094215187488
POPPY'S PLAYHOUSE BATHROOM,POPPY'S PLAYHOUSE LIVINGROOM,0.009438341327556863,0.8243243243243245,49.94632601351353
PINK REGENCY TEACUP AND SAUCER,GREEN REGENCY TEACUP AND SAUCER,0.031151683944504616,0.8217687074829931,16.37540952660612
HERB MARKER PARSLEY,HERB MARKER CHIVES,0.00979937077724483,0.8189655172413793,77.08214763977234
SMALL CHOCOLATES PINK BOWL,SMALL MARSHMALLOWS PINK BOWL,0.010263551498272216,0.8155737704918034,35.61522485600355
SET/6 RED SPOTTY PAPER CUPS,SET/6 RED SPOTTY PAPER PLATES,0.017638867399040692,0.8142857142857143,30.53807681680022
ROLL WRAP 50'S RED CHRISTMAS,ROLL WRAP 50'S CHRISTMAS,0.008819433699520346,0.8104265402843601,44.895314827352735
BISCUITS SMALL BOWL LIGHT BLUE,SMALL MARSHMALLOWS PINK BOWL,0.007169013358089639,0.808139534883721,35.29057982401006
HERB MARKER THYME,HERB MARKER CHIVES,0.0096446438702357,0.8025751072961373,75.53945997749906
PINK VINTAGE SPOT BEAKER,BLUE VINTAGE SPOT BEAKER,0.007684769714786735,0.8010752688172044,71.24792838117787
POPPY'S PLAYHOUSE LIVINGROOM,POPPY'S PLAYHOUSE KITCHEN,0.013151787095775955,0.796875,36.354375000000005
BEADED CRYSTAL HEART GREEN ON STICK,BEADED CRYSTAL HEART PINK ON STICK,0.007065862086750219,0.7965116279069768,74.9687570557688
HERB MARKER ROSEMARY,HERB MARKER CHIVES,0.009593068234565991,0.7948717948717949,74.81441374159822
HERB MARKER MINT,HERB MARKER CHIVES,0.0096446438702357,0.7923728813559322,74.57921260490373
DOLLY GIRL CHILDRENS BOWL,DOLLY GIRL CHILDRENS CUP,0.007633194079117025,0.7914438502673796,80.7647621728117
